14.1,-0.198125,-0.649186,0.734373
14.2,-0.185077,-0.656843,0.730961
14.3,-0.171941,-0.663945,0.727746
14.4,-0.158726,-0.670494,0.724737
14.5,-0.145439,-0.676495,0.721943
14.6,-0.13209,-0.68195,0.719373
14.7,-0.118684,-0.686862,0.717032
14.8,-0.105229,-0.691234,0.714928
14.9,-0.0917315,-0.695069,0.713066
15,-0.0781974,-0.69837,0.711452
15.1,-0.0646328,-0.701139,0.710089
15.2,-0.0510433,-0.703377,0.708982
15.3,-0.0374345,-0.705087,0.708132
15.4,-0.0238115,-0.706269,0.707543
15.5,-0.0101796,-0.706925,0.707215
15.6,0.00345613,-0.707054,0.707151
15.7,0.0170905,-0.706658,0.707349
15.8,0.0307185,-0.705735,0.70781
15.9,0.044335,-0.704285,0.708532
16,0.0579347,-0.702307,0.709513
16.1,0.0715121,-0.699799,0.710751
16.2,0.0850619,-0.69676,0.712242
16.3,0.0985781,-0.693188,0.713983
16.4,0.112055,-0.689081,0.715969
16.5,0.125485,-0.684434,0.718194
16.6,0.138863,-0.679247,0.720653
16.7,0.152182,-0.673516,0.723338
16.8,0.165433,-0.667237,0.726242
16.9,0.178609,-0.660407,0.729357
17,0.191701,-0.653024,0.732674
17.1,0.204701,-0.645083,0.736183
17.2,0.2176,-0.636582,0.739874
17.3,0.230386,-0.627518,0.743736
17.4,0.243051,-0.617888,0.747757
17.5,0.255582,-0.607691,0.751924
17.6,0.267968,-0.596923,0.756225
17.7,0.280197,-0.585584,0.760645
17.8,0.292256,-0.573672,0.765171
17.9,0.304132,-0.561189,0.769786
18,0.315812,-0.548133,0.774476
18.1,0.32728,-0.534508,0.779224
18.2,0.338521,-0.520315,0.784013
18.3,0.349522,-0.505557,0.788826
18.4,0.360265,-0.490241,0.793646
18.5,0.370735,-0.47437,0.798454
18.6,0.380915,-0.457953,0.803233
18.7,0.390789,-0.440998,0.807963
18.8,0.40034,-0.423515,0.812627
18.9,0.409552,-0.405516,0.817205
19,0.418406,-0.387013,0.82168
19.1,0.426887,-0.368021,0.826032
19.2,0.434978,-0.348556,0.830243
19.3,0.442662,-0.328635,0.834295
19.4,0.449924,-0.30828,0.838172
19.5,0.456747,-0.287509,0.841855
19.6,0.463117,-0.266347,0.845329
19.7,0.46902,-0.244817,0.848578
19.8,0.474441,-0.222946,0.851587
19.9,0.479368,-0.200759,0.854343
20,0.483789,-0.178286,0.856833
20.1,0.487694,-0.155557,0.859044
20.2,0.491072,-0.132602,0.860967
20.3,0.493916,-0.109453,0.862593
20.4,0.496218,-0.0861444,0.863914
20.5,0.497972,-0.0627083,0.864923
20.6,0.499173,-0.0391795,0.865616
20.7,0.499819,-0.0155926,0.865989
20.8,0.499908,0.00801745,0.866041
